zona,area_quartos,enderecos_lista,aluguel
norte,132 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.470
norte,58 m² construídos2 quartos,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1.600
norte,45 m² construídos2 quartos,"Avenida Manoel Domingos Pinto, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
norte,75 m² construídos3 quartos,"Rua João Alves, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",1.500
norte,55 m² construídos2 quartos,"Rua Conde Luiz E. Matarazzo, Jardim São Silvestre, São Paulo Zona Norte, São Paulo",1.050
norte,28 m² construídos1 quarto,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",1.450
norte,64 m² construídos2 quartos,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.390
norte,24 m² construídos1 quarto,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",980
norte,180 m² construídos3 quartos,"Rua Vieira Martins, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.880
norte,56 m² construídos2 quartos,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,63 m² construídos2 quartos,"Rua Amazonas Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.910
norte,354 m² construídos5 quartos,"Rua Chico De Paula, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",8.500
norte,79 m² construídos2 quartos,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",1.280
norte,120 m² construídos3 quartos,"Rua Vinte E Oito De Janeiro, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",3.500
norte,65 m² construídos2 quartos,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.339
norte,110 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.970
norte,230 m² construídos3 quartos,"Rua Albertina Vieira Da Silva Gordo, Vila Aurora, São Paulo Zona Norte, São Paulo",3.300
norte,285 m² construídos3 quartos,"Rua Cecília Meireles, Jardim Japão, São Paulo Zona Norte, São Paulo",4.000
norte,160 m² construídos3 quartos,"Rua Frei Vicente Do Salvador, Santana, São Paulo Zona Norte, São Paulo",2.900
norte,150 m² construídos2 quartos,"Rua Rafael De Oliveira, Água Fria, São Paulo Zona Norte, São Paulo",2.300
norte,62 m² construídos2 quartos,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2.470
norte,70 m² construídos2 quartos,"Rua José Hernandes Gonzáles, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.700
norte,100 m² construídos3 quartos,"R. Antônio Guganis, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.500
norte,103 m² construídos3 quartos,"Rua Carlos Escobar, Santana, São Paulo Zona Norte, São Paulo",4.000
norte,65 m² construídos3 quartos,"Rua Manuel De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.350
norte,75 m² construídos2 quartos,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.750
norte,56 m² construídos2 quartos,"Rua Dona Martinha, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.000
norte,50 m² construídos2 quartos,"Rua Mira Estrela, Tucuruvi, São Paulo Zona Norte, São Paulo",1.500
norte,70 m² construídos3 quartos,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,62 m² construídos2 quartos,"Rua Márcio Mazzei, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.060
norte,50 m² construídos2 quartos,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.500
norte,207 m² construídos3 quartos,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",5.200
norte,50 m² construídos2 quartos,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.300
norte,140 m² construídos3 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",4.000
norte,208 m² construídos3 quartos,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",3.600
norte,100 m² construídos2 quartos,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.616
norte,70 m² construídos2 quartos,"Rua Heliodora, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,70 m² construídos2 quartos,"Rua Alberto Lohnhoff, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.500
norte,400 m² construídos5 quartos,"Rua Gaurama, Jardim França, São Paulo Zona Norte, São Paulo",5.000
norte,90 m² construídos2 quartos,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.100
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,44 m² construídos1 quarto,"Rua Joaquim Oliveira Freitas, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100
norte,58 m² construídos2 quartos,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",2.200
norte,80 m² construídos2 quartos,"Rua Aureliano Leal, Água Fria, São Paulo Zona Norte, São Paulo",1.300
norte,45 m² construídos1 quarto,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,88 m² construídos2 quartos,"Rua Padre João Gualberto, Imirim, São Paulo Zona Norte, São Paulo",1.400
norte,300 m² construídos4 quartos,"Rua Luís Martins, Jardim Peri, São Paulo Zona Norte, São Paulo",10.000
norte,48 m² construídos2 quartos,"Rua Thomaz Antônio Villani, Vila Santa Maria, São Paulo Zona Norte, São Paulo",1.100
norte,60 m² construídos2 quartos,"Rua Dias Da Silva, Vila Maria, São Paulo Zona Norte, São Paulo",1.700
norte,50 m² construídos2 quartos,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.600
norte,50 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,60 m² construídos2 quartos,"Rua Adalberto Kurt, Jardim Peri, São Paulo Zona Norte, São Paulo",2.300
norte,75 m² construídos2 quartos,"Rua Arisugawa, Jardim Japão, São Paulo Zona Norte, São Paulo",1.800
norte,180 m² construídos3 quartos,"Rua Doutor Ângelo Vita, Vila Zilda, São Paulo Zona Norte, São Paulo",2.975
norte,435 m² construídos3 quartos,"Rua Caraputinga, Vila América, São Paulo Zona Norte, São Paulo",9.900
norte,44 m² construídos2 quartos,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",3.000
norte,92 m² construídos2 quartos,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.785
norte,40 m² construídos1 quarto,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.250
norte,53 m² construídos2 quartos,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.650
norte,300 m² construídos4 quartos,"Rua José Bernardo Pinto, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.910
norte,60 m² construídos2 quartos,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",1.300
norte,74 m² construídos2 quartos,"Rua Carlos Camargo Aranha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.800
norte,75 m² construídos2 quartos,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",1.500
norte,86 m² construídos2 quartos,"Avenida Tucuruvi, Tucuruvi, São Paulo Zona Norte, São Paulo",1.644
norte,30 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.200
norte,107 m² construídos2 quartos,"Rua Tenente José Antunes, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.600
norte,60 m² construídos3 quartos,"Rua Itaxama, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.400
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,174 m² construídos3 quartos,"Rua Franklin Do Amaral, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",4.000
norte,300 m² construídos5 quartos,"Rua Terceiro-sargento João Soares De Faria - Parque Novo Mundo, São Paulo - Sp, Brasil, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",3.500
norte,250 m² construídos4 quartos,"Rua Coronel Chananeco, Jardim São Paulo, São Paulo Zona Norte, São Paulo",6.010
norte,65 m² construídos2 quartos,"Rua Plínio Colas, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.400
norte,49 m² construídos1 quarto,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",2.360
norte,119 m² construídos3 quartos,"Rua Assituas, Jardim Brasil, São Paulo Zona Norte, São Paulo",2.650
norte,180 m² construídos3 quartos,"Rua Jacarapinima, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.500
norte,72 m² construídos2 quartos,"Rua Guiomar Da Rocha, Casa Verde Média, São Paulo Zona Norte, São Paulo",1.610
norte,58 m² construídos2 quartos,"Rua Comendador Joaquim Monteiro, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,150 m² construídos2 quartos,"Rua Roberto De Lamenais, Vila Mangalot, São Paulo Zona Norte, São Paulo",2.030
norte,53 m² construídos2 quartos,"Rua Jornalista Octávio Ribeiro - Pena Branca, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",2.550
norte,64 m² construídos3 quartos,"Avenida Manoel Pedro Pímentel, Jardim Peri, São Paulo Zona Norte, São Paulo",2.000
norte,76 m² construídos3 quartos,"Rua Raul Dias, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.980
norte,49 m² construídos2 quartos,"Rua Dos Camarés, Carandiru, São Paulo Zona Norte, São Paulo",1.530
norte,22 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.700
norte,64 m² construídos2 quartos,"Rua Pestana, Vila Guaca, São Paulo Zona Norte, São Paulo",2.000
norte,51 m² construídos2 quartos,"Rua Antônio Campêlo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",1.300
norte,85 m² construídos2 quartos,"Rua Borges Ladário, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.850
norte,122 m² construídos2 quartos,"Rua Irineu Morato, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.500
norte,60 m² construídos2 quartos,"Rua Jovita, Santana, São Paulo Zona Norte, São Paulo",1.700
norte,75 m² construídos2 quartos,"Praça João Corrêa Lemos, Vila São Vicente, São Paulo Zona Norte, São Paulo",1.498
norte,59 m² construídos3 quartos,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.330
norte,44 m² construídos2 quartos,"Rua Lázara Da Silva Jimenes, Vila Leonor, São Paulo Zona Norte, São Paulo",1.400
norte,50 m² construídos2 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.880
norte,88 m² construídos3 quartos,"Rua Doutor César, Santana, São Paulo Zona Norte, São Paulo",2.200
norte,71 m² construídos2 quartos,"Rua Antônio Flaquer, Barro Branco, São Paulo Zona Norte, São Paulo",1.200
norte,130 m² construídos3 quartos,"Rua Angelo Richiutti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",3.000
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,50 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.650
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,80 m² construídos3 quartos,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",3.000
norte,180 m² construídos3 quartos,"Rua Belchior De Ordas, Vila Leonor, São Paulo Zona Norte, São Paulo",5.460
norte,230 m² construídos2 quartos,"Rua Martins Júnior, Chácara Nossa Senhora Aparecida, São Paulo Zona Norte, São Paulo",2.600
norte,70 m² construídos2 quartos,"Avenida Mandaqui, Limão, São Paulo Zona Norte, São Paulo",2.220
norte,115 m² construídos5 quartos,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.480
norte,43 m² construídos2 quartos,"Rua Coronel Euclídes Machado, Jardim Das Graças, São Paulo Zona Norte, São Paulo",1.350
norte,47 m² construídos1 quarto,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",1.600
norte,47 m² construídos1 quarto,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2.395
norte,75 m² construídos2 quartos,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.460
sul,70 m² construídos2 quartos,"Rua Tuim, Vila Uberabinha, São Paulo Zona Sul, São Paulo",4.500
sul,86 m² construídos2 quartos,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",3.850
sul,102 m² construídos3 quartos,"Avenida Aratãs, Indianópolis, São Paulo Zona Sul, São Paulo",4.140
sul,112 m² construídos3 quartos,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",4.700
sul,80 m² construídos2 quartos,"Rua Diogo Jacome, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.500
sul,93 m² construídos3 quartos,"Rua Sabiá, Indianópolis, São Paulo Zona Sul, São Paulo",2.600
sul,280 m² construídos4 quartos,"Rua Barão De Santa Eulalia, 150, Real Parque, São Paulo Zona Sul, São Paulo",5.000
sul,110 m² construídos3 quartos,"Rua Alvorada, 735, Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,55 m² construídos2 quartos,"Rua Da Paz, 619, Alto Da Boa Vista, São Paulo Zona Sul, São Paulo",5.000
sul,103 m² construídos3 quartos,"Rua Brasília, 85, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.000
sul,168 m² construídos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,47 m² construídos,"Rua Caramuru, 417, Saúde, São Paulo Zona Sul, São Paulo",5.000
sul,41 m² construídos1 quarto,"Rua Joinville, Vila Mariana, São Paulo Zona Sul, São Paulo",1.430
sul,88 m² construídos,"Alameda Vicente Pinzon, 144, Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,92 m² construídos2 quartos,"Rua Luís Dias, 85, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.000
sul,58 m² construídos2 quartos,"Rua Tenente Américo Moretti, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.200
sul,150 m² construídos,"Avenida Adolfo Pinheiro, 1720, Santo Amaro, São Paulo Zona Sul, São Paulo",5.000
sul,45 m² construídos1 quarto,"Rua Nelson Gama De Oliveira, Vila Andrade, São Paulo Zona Sul, São Paulo",1.200
sul,120 m² construídos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,24 m² construídos1 quarto,"Rua Dona Avelina, Vila Mariana, São Paulo Zona Sul, São Paulo",1.200
sul,70 m² construídos2 quartos,"Rua Antônio Loureiro, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.339
sul,17 m² construídos1 quarto,"Rua Vergueiro, Vila Firmiano Pinto, São Paulo Zona Sul, São Paulo",650
sul,100 m² construídos2 quartos,"Rua Oliveira Melo, Vila São José, São Paulo Zona Sul, São Paulo",1.500
sul,74 m² construídos3 quartos,"Avenida Engenheiro José Salles, Socorro, São Paulo Zona Sul, São Paulo",1.600
sul,35 m² construídos1 quarto,"Rua Clímaco Barbosa, Cambuci, São Paulo Zona Sul, São Paulo",1.500
sul,50 m² construídos1 quarto,"Rua Francisco Siracusa, Parque Fongaro, São Paulo Zona Sul, São Paulo",950
sul,45 m² construídos1 quarto,"Rua Leopoldo Couto De Magalhães Júnior, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.000
sul,45 m² construídos2 quartos,"Rua Alfredo Jorel, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.203
sul,330 m² construídos4 quartos,"Rua Engenheiro Prudente, Vila Monumento, São Paulo Zona Sul, São Paulo",10.000
sul,34 m² construídos2 quartos,"Rua Alexandrino Da Silveira Bueno, Cambuci, São Paulo Zona Sul, São Paulo",1.530
sul,150 m² construídos2 quartos,"Rua Nova York, Brooklin Paulista, São Paulo Zona Sul, São Paulo",800
sul,50 m² construídos1 quarto,"Rua Pires Da Mota, Aclimação, São Paulo Zona Sul, São Paulo",1.100
sul,43 m² construídos1 quarto,"Rua Antônio Venturi, Vila Sônia, São Paulo Zona Sul, São Paulo",1.210
sul,70 m² construídos2 quartos,"Rua Santa, Vila Mascote, São Paulo Zona Sul, São Paulo",1.470
sul,54 m² construídos2 quartos,"Rua Vigário Taques Bitencourt, Santo Amaro, São Paulo Zona Sul, São Paulo",1.720
sul,104 m² construídos3 quartos,"Rua Coriolano Durand, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",2.500
sul,74 m² construídos2 quartos,"Rua Nossa Senhora Das Mercês, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.339
sul,46 m² construídos1 quarto,"Rua Diogo Vaz, Cambuci, São Paulo Zona Sul, São Paulo",1.200
sul,80 m² construídos2 quartos,"Avenida Doutor Mário Vilas Boas Rodrigues, Jardim Dom Bosco, São Paulo Zona Sul, São Paulo",3.200
sul,43 m² construídos2 quartos,"Rua Edvard Carmilo, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.350
sul,60 m² construídos2 quartos,"Avenida Miguel Estéfno, Saúde, São Paulo Zona Sul, São Paulo",1.339
sul,80 m² construídos4 quartos,"Rua Pedro Gomes Cardim, Vila Progredior, São Paulo Zona Sul, São Paulo",1.658
sul,90 m² construídos2 quartos,"Rua Ribeiroles, Parque Jabaquara, São Paulo Zona Sul, São Paulo",1.442
sul,165 m² construídos4 quartos,"Avenida Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",2.450
sul,50 m² construídos2 quartos,"Avenida Fagundes Filho, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",1.700
sul,72 m² construídos3 quartos,"Avenida Professor Sylla Mattos, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1.320
sul,110 m² construídos3 quartos,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",6.000
sul,117 m² construídos3 quartos,"Avenida Mascote, Vila Mascote, São Paulo Zona Sul, São Paulo",2.800
sul,47 m² construídos1 quarto,"Rua Deputado João Sussumo Hirata, Vila Andrade, São Paulo Zona Sul, São Paulo",1.650
sul,55 m² construídos2 quartos,"Rua Dos Cariris Novos, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",1.600
sul,57 m² construídos2 quartos,"Rua Maranjaí, Vila Monumento, São Paulo Zona Sul, São Paulo",1.100
sul,85 m² construídos2 quartos,"Rua Arminda Fernandes De Almeida, Vila Mariana, São Paulo Zona Sul, São Paulo",2.814
sul,80 m² construídos2 quartos,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.800
sul,50 m² construídos1 quarto,"Rua Bom Pastor, Ipiranga, São Paulo Zona Sul, São Paulo",1.800
sul,28 m² construídos1 quarto,"Rua Coronel Luiz Schimidt 59, Vila Das Belezas, São Paulo Zona Sul, São Paulo",151.900
sul,150 m² construídos3 quartos,"Rua Derval, Vila Mascote, São Paulo Zona Sul, São Paulo",4.000
sul,60 m² construídos2 quartos,"Rua Agudos, Vila Monumento, São Paulo Zona Sul, São Paulo",1.600
sul,104 m² construídos2 quartos,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",2.400
sul,70 m² construídos2 quartos,"Rua Lino Guedes, Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.575
sul,58 m² construídos2 quartos,"Rua Fagundes Filho, Saúde, São Paulo Zona Sul, São Paulo",1.800
sul,60 m² construídos2 quartos,"Rua Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",1.600
sul,65 m² construídos3 quartos,"Avenida Marginal Direita Anchieta, Vila Heliópolis, São Paulo Zona Sul, São Paulo",1.100
sul,58 m² construídos2 quartos,"Rua Dos Democratas, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2.400
sul,70 m² construídos2 quartos,"Rua Ibituruna, São Judas, São Paulo Zona Sul, São Paulo",2.393
sul,53 m² construídos1 quarto,"Rua Henri Dunant, Santo Amaro, São Paulo Zona Sul, São Paulo",4.450
sul,185 m² construídos4 quartos,"Rua Júpiter, Aclimação, São Paulo Zona Sul, São Paulo",4.800
sul,54 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.500
sul,50 m² construídos1 quarto,"Rua Napoleão De Barros, Vila Clementino, São Paulo Zona Sul, São Paulo",2.400
sul,93 m² construídos3 quartos,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",2.700
sul,65 m² construídos2 quartos,"Avenida Doutor Silva Melo, Jardim Taquaral, São Paulo Zona Sul, São Paulo",2.000
sul,82 m² construídos1 quarto,"Rua Marcos Lopes, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",7.500
sul,71 m² construídos2 quartos,"Rua Dias De Toledo, Saúde, São Paulo Zona Sul, São Paulo",4.400
sul,54 m² construídos2 quartos,"Rua Cesário Ramalho, Cambuci, São Paulo Zona Sul, São Paulo",2.000
sul,42 m² construídos1 quarto,"Rua Doutor Guilherme Bannitz, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.700
sul,100 m² construídos2 quartos,"Rua Guararapes, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200
sul,56 m² construídos2 quartos,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.500
sul,30 m² construídos1 quarto,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",1.236
sul,34 m² construídos1 quarto,"Rua Marselhesa, Vila Mariana, São Paulo Zona Sul, São Paulo",3.355
sul,45 m² construídos1 quarto,"Rua Barão Campos Gerais, Real Parque, São Paulo Zona Sul, São Paulo",1.000
sul,73 m² construídos2 quartos,"Rua Praia Do Castelo, Vila Mascote, São Paulo Zona Sul, São Paulo",2.500
sul,35 m² construídos1 quarto,"Rua Cesar Vallejo, Real Parque, São Paulo Zona Sul, São Paulo",2.250
sul,165 m² construídos4 quartos,"Rua Thomás Deloney, Santo Amaro, São Paulo Zona Sul, São Paulo",5.100
sul,63 m² construídos2 quartos,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",1.339
sul,38 m² construídos1 quarto,"Rua Castro Alves, Aclimação, São Paulo Zona Sul, São Paulo",2.500
sul,356 m² construídos8 quartos,"Rua Muniz De Sousa, Aclimação, São Paulo Zona Sul, São Paulo",10.000
sul,120 m² construídos3 quartos,"Rua Doutor José Áureo Bustamante, Santo Amaro, São Paulo Zona Sul, São Paulo",8.000
sul,36 m² construídos1 quarto,"Avenida Miruna, Indianópolis, São Paulo Zona Sul, São Paulo",1.470
sul,52 m² construídos1 quarto,"Avenida Da Aclimação, Aclimação, São Paulo Zona Sul, São Paulo",2.350
sul,42 m² construídos1 quarto,"Alameda Sarutaiá, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.850
sul,35 m² construídos1 quarto,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.530
sul,150 m² construídos3 quartos,"Rua Marcos Lopes, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.500
sul,70 m² construídos1 quarto,"Rua Lourdes Fernandes Grossmann, Vila Santo Estéfano, São Paulo Zona Sul, São Paulo",1.100
sul,160 m² construídos3 quartos,"Avenida Washington Luís, Santo Amaro, São Paulo Zona Sul, São Paulo",4.070
sul,40 m² construídos1 quarto,"Rua Tuim, Vila Uberabinha, São Paulo Zona Sul, São Paulo",1.465
sul,60 m² construídos1 quarto,"Avenida Pavão, Indianópolis, São Paulo Zona Sul, São Paulo",3.130
sul,51 m² construídos1 quarto,"Rua Doutor João Clímaco Pereira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.430
sul,30 m² construídos1 quarto,"Rua Baluarte, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500
sul,275 m² construídos2 quartos,"Rua Doutor Fadlo Haidar, Vila Olímpia, São Paulo Zona Sul, São Paulo",6.310
sul,40 m² construídos1 quarto,"Rua Das Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.500
sul,35 m² construídos1 quarto,"Rua Doutor João Clímaco Pereira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.700
sul,100 m² construídos3 quartos,"Avenida Ibijaú, Moema, São Paulo Zona Sul, São Paulo",5.000
sul,40 m² construídos1 quarto,"Rua José Homero Roxo, Campininha, São Paulo Zona Sul, São Paulo",1.417
sul,70 m² construídos1 quarto,"Rua Antônio Gil, Vila Inglesa, São Paulo Zona Sul, São Paulo",1.470
sul,43 m² construídos1 quarto,"Rua Viaza, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",2.700
sul,124 m² construídos1 quarto,"Rua Casa Do Ator, Vila Olímpia, São Paulo Zona Sul, São Paulo",14.550
sul,184 m² construídos3 quartos,"Rua Germano Ulbrich, Vila Andrade, São Paulo Zona Sul, São Paulo",3.538
sul,64 m² construídos1 quarto,"Rua Iaiá, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.600
sul,67 m² construídos2 quartos,"Rua Marechal Pimentel, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1.300
sul,43 m² construídos1 quarto,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.205
sul,85 m² construídos2 quartos,"Avenida João Dias, Santo Amaro, São Paulo Zona Sul, São Paulo",2.120
sul,150 m² construídos3 quartos,"Rua Visconde Nacar, Real Parque, São Paulo Zona Sul, São Paulo",2.700
sul,55 m² construídos1 quarto,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.300
sul,82 m² construídos2 quartos,"Avenida Presidente Juscelino Kubitschek, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",6.500
sul,54 m² construídos2 quartos,"Rua Sena Madureira, Vila Clementino, São Paulo Zona Sul, São Paulo",3.800
sul,75 m² construídos2 quartos,"Rua Coriolano Durand, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",3.000
sul,44 m² construídos1 quarto,"Rua Castilho, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200
sul,60 m² construídos1 quarto,"Rua Desembargador Eliseu Guilherme, Paraíso, São Paulo Zona Sul, São Paulo",2.310
sul,230 m² construídos2 quartos,"Rua João Álvares Soares, Campo Belo, São Paulo Zona Sul, São Paulo",4.500
sul,63 m² construídos2 quartos,"Rua Sebastopol, Vila Inglesa, São Paulo Zona Sul, São Paulo",1.850
