zona,enderecos_lista,aluguel,area,quartos
norte,"Rua Rubens De Souza Araújo, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.236,55.0,2.0
norte,"Rua Benjamin Pereira, Jaçanã, São Paulo Zona Norte, São Paulo",1.450,59.0,2.0
norte,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.000,47.0,2.0
norte,"Rua José Pardelli, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.300,75.0,2.0
norte,"Rua Dona Joaquina De Jesus, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.050,80.0,1.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.300,71.0,3.0
norte,"Rua Ribeiro De Morais, Vila Albertina, São Paulo Zona Norte, São Paulo",1.200,70.0,2.0
norte,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.552,53.0,2.0
norte,"Rua Nova Dos Portugueses, Chora Menino, São Paulo Zona Norte, São Paulo",2.100,66.0,2.0
norte,"Rua Paraíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",5.000,177.0,3.0
norte,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.155,50.0,2.0
norte,"Rua Claudino Pinto, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.260,48.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640,70.0,2.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",2.000,49.0,2.0
norte,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.000,55.0,2.0
norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.400,50.0,2.0
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.990,32.0,1.0
norte,"Rua Alvorada Do Norte, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.200,48.0,1.0
norte,"Rua Sebastião Alves De Sousa, Vila Miriam, São Paulo Zona Norte, São Paulo",1.300,35.0,1.0
norte,"Rua Manoel Lopes Da Cunha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.339,50.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640,70.0,2.0
norte,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.530,80.0,3.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.300,98.0,4.0
norte,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",3.000,49.0,2.0
norte,"Rua Herbert Hoover, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.500,72.0,2.0
norte,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2.500,50.0,1.0
norte,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2.163,55.0,2.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.600,59.0,2.0
norte,"Rua Canner, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",1.133,48.0,2.0
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.900,90.0,4.0
norte,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",1.200,54.0,2.0
norte,"Rua Hipódromo, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.500,45.0,2.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Rua Aída Gomes Toledo, Imirim, São Paulo Zona Norte, São Paulo",1.339,60.0,2.0
norte,"Rua Jorge Valim, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",1.900,57.0,2.0
norte,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.428,74.0,2.0
norte,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.200,56.0,2.0
norte,"Rua Coronel Gustavo Santiago, Vila Zilda, São Paulo Zona Norte, São Paulo",2.500,60.0,2.0
norte,"Rua Ernesto De Castro, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.450,55.0,2.0
norte,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.122,55.0,2.0
norte,"Rua Salvador Romeu, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",3.500,200.0,3.0
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",4.600,121.0,3.0
norte,"Rua Theóphilo De Oliveira E Souza, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.000,150.0,3.0
norte,"Rua Alexandre Ramos De Souza, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.938,170.0,2.0
norte,"Rua Alfredo Inácio Trindade, Barro Branco, São Paulo Zona Norte, São Paulo",1.326,64.0,2.0
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",2.000,85.0,4.0
norte,"Rua Martim Burchard, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.800,50.0,2.0
norte,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.193,100.0,3.0
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",4.000,136.0,4.0
norte,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.500,50.0,2.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200,42.0,2.0
norte,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1.150,60.0,1.0
norte,"Avenida Do Anastácio, Jardim Peri, São Paulo Zona Norte, São Paulo",2.800,64.0,3.0
norte,"Avenida Aparecida Do Rio Negro, Jardim Peri, São Paulo Zona Norte, São Paulo",1.450,45.0,2.0
norte,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1.300,70.0,2.0
norte,"Rua Coronel Euclídes Machado, Jardim Das Graças, São Paulo Zona Norte, São Paulo",1.581,41.0,2.0
norte,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",3.090,110.0,2.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600,86.0,3.0
norte,"Rua José Leite De Almeida, 128 - Santa Teresinha, São Paulo - Sp, Brasil, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.450,50.0,2.0
norte,"Rua Antônio Píres, Vila Albertina, São Paulo Zona Norte, São Paulo",9.800,370.0,3.0
norte,"Rua Benevenuto Jordão, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.600,65.0,2.0
norte,"Avenida Ministro Petrônio Portela, Vila Amélia, São Paulo Zona Norte, São Paulo",2.200,71.0,3.0
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",2.142,100.0,3.0
norte,"Rua Macaiá-mirim, Santana, São Paulo Zona Norte, São Paulo",2.700,137.0,3.0
norte,"Rua Corneteiro Jesus, Água Fria, São Paulo Zona Norte, São Paulo",2.310,120.0,2.0
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1.600,37.0,1.0
norte,"Rua Das Imbiras, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.632,58.0,2.0
norte,"Avenida Zaki Narchi, Carandiru, São Paulo Zona Norte, São Paulo",1.650,80.0,1.0
norte,"Rua Lourenço Collino, Jardim Peri, São Paulo Zona Norte, São Paulo",1.800,57.0,2.0
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.870,32.0,1.0
norte,"Rua Manuel De Moura, Vila Gustavo, São Paulo Zona Norte, São Paulo",5.000,490.0,6.0
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.100,96.0,3.0
norte,"Rua Samaritá, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.530,57.0,2.0
norte,"Avenida Das Cerejeiras, Vila Maria Alta, São Paulo Zona Norte, São Paulo",4.500,93.0,1.0
norte,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100,60.0,1.0
norte,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.224,30.0,1.0
norte,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.632,50.0,2.0
norte,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.632,50.0,2.0
norte,"Rua Salvador Romeu, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.300,60.0,2.0
norte,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.150,50.0,1.0
norte,"Rua Cruz De Malta, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.700,37.0,1.0
norte,"Rua Manuel De Andrade, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.700,150.0,1.0
norte,"Rua Ricardo Franco, Vila Roque, São Paulo Zona Norte, São Paulo",1.365,95.0,1.0
norte,"Rua Manoel Duarte, Jardim Primavera (zona Norte), São Paulo Zona Norte, São Paulo",4.170,250.0,4.0
norte,"Rua Salvador Tolezano, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.730,95.0,2.0
norte,"Rua Piracema, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.326,50.0,2.0
norte,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.000,44.0,1.0
norte,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",6.990,240.0,4.0
norte,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",1.900,59.0,2.0
