zona,enderecos_lista,aluguel,area,quartos
norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2.470,62.0,2.0
norte,"Rua José Hernandes Gonzáles, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.700,70.0,2.0
norte,"R. Antônio Guganis, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.500,100.0,3.0
norte,"Rua Carlos Escobar, Santana, São Paulo Zona Norte, São Paulo",4.000,103.0,3.0
norte,"Rua Manuel De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.350,65.0,3.0
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.750,75.0,2.0
norte,"Rua Dona Martinha, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.000,56.0,2.0
norte,"Rua Mira Estrela, Tucuruvi, São Paulo Zona Norte, São Paulo",1.500,50.0,2.0
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.000,70.0,3.0
norte,"Rua Márcio Mazzei, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.060,62.0,2.0
norte,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.500,50.0,2.0
norte,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",5.200,207.0,3.0
norte,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.300,50.0,2.0
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",4.000,140.0,3.0
norte,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",3.600,208.0,3.0
norte,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.616,100.0,2.0
norte,"Rua Heliodora, Santana, São Paulo Zona Norte, São Paulo",1.800,70.0,2.0
norte,"Rua Alberto Lohnhoff, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.500,70.0,2.0
norte,"Rua Gaurama, Jardim França, São Paulo Zona Norte, São Paulo",5.000,400.0,5.0
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.100,90.0,2.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Rua Joaquim Oliveira Freitas, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100,44.0,1.0
norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",2.200,58.0,2.0
norte,"Rua Aureliano Leal, Água Fria, São Paulo Zona Norte, São Paulo",1.300,80.0,2.0
norte,"Rua Duarte De Azevedo, Santana, São Paulo Zona Norte, São Paulo",1.800,45.0,1.0
norte,"Rua Padre João Gualberto, Imirim, São Paulo Zona Norte, São Paulo",1.400,88.0,2.0
norte,"Rua Luís Martins, Jardim Peri, São Paulo Zona Norte, São Paulo",10.000,300.0,4.0
norte,"Rua Thomaz Antônio Villani, Vila Santa Maria, São Paulo Zona Norte, São Paulo",1.100,48.0,2.0
norte,"Rua Dias Da Silva, Vila Maria, São Paulo Zona Norte, São Paulo",1.700,60.0,2.0
norte,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.600,50.0,2.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.800,50.0,1.0
norte,"Rua Adalberto Kurt, Jardim Peri, São Paulo Zona Norte, São Paulo",2.300,60.0,2.0
norte,"Rua Arisugawa, Jardim Japão, São Paulo Zona Norte, São Paulo",1.800,75.0,2.0
norte,"Rua Doutor Ângelo Vita, Vila Zilda, São Paulo Zona Norte, São Paulo",2.975,180.0,3.0
norte,"Rua Caraputinga, Vila América, São Paulo Zona Norte, São Paulo",9.900,435.0,3.0
norte,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",3.000,44.0,2.0
norte,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.785,92.0,2.0
norte,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.250,40.0,1.0
norte,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.650,53.0,2.0
norte,"Rua José Bernardo Pinto, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.910,300.0,4.0
norte,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",1.300,60.0,2.0
norte,"Rua Carlos Camargo Aranha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.800,74.0,2.0
norte,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",1.500,75.0,2.0
norte,"Avenida Tucuruvi, Tucuruvi, São Paulo Zona Norte, São Paulo",1.644,86.0,2.0
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.200,30.0,1.0
norte,"Rua Tenente José Antunes, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.600,107.0,2.0
norte,"Rua Itaxama, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.400,60.0,3.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Rua Franklin Do Amaral, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",4.000,174.0,3.0
norte,"Rua Terceiro-sargento João Soares De Faria - Parque Novo Mundo, São Paulo - Sp, Brasil, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",3.500,300.0,5.0
norte,"Rua Coronel Chananeco, Jardim São Paulo, São Paulo Zona Norte, São Paulo",6.010,250.0,4.0
norte,"Rua Plínio Colas, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.400,65.0,2.0
norte,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",2.360,49.0,1.0
norte,"Rua Assituas, Jardim Brasil, São Paulo Zona Norte, São Paulo",2.650,119.0,3.0
norte,"Rua Jacarapinima, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.500,180.0,3.0
norte,"Rua Guiomar Da Rocha, Casa Verde Média, São Paulo Zona Norte, São Paulo",1.610,72.0,2.0
norte,"Rua Comendador Joaquim Monteiro, Santana, São Paulo Zona Norte, São Paulo",1.800,58.0,2.0
norte,"Rua Roberto De Lamenais, Vila Mangalot, São Paulo Zona Norte, São Paulo",2.030,150.0,2.0
norte,"Rua Jornalista Octávio Ribeiro - Pena Branca, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",2.550,53.0,2.0
norte,"Avenida Manoel Pedro Pímentel, Jardim Peri, São Paulo Zona Norte, São Paulo",2.000,64.0,3.0
norte,"Rua Raul Dias, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.980,76.0,3.0
norte,"Rua Dos Camarés, Carandiru, São Paulo Zona Norte, São Paulo",1.530,49.0,2.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.700,22.0,1.0
norte,"Rua Pestana, Vila Guaca, São Paulo Zona Norte, São Paulo",2.000,64.0,2.0
norte,"Rua Antônio Campêlo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",1.300,51.0,2.0
norte,"Rua Borges Ladário, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.850,85.0,2.0
norte,"Rua Irineu Morato, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.500,122.0,2.0
norte,"Rua Jovita, Santana, São Paulo Zona Norte, São Paulo",1.700,60.0,2.0
norte,"Praça João Corrêa Lemos, Vila São Vicente, São Paulo Zona Norte, São Paulo",1.498,75.0,2.0
norte,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.330,59.0,3.0
norte,"Rua Lázara Da Silva Jimenes, Vila Leonor, São Paulo Zona Norte, São Paulo",1.400,44.0,2.0
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.880,50.0,2.0
norte,"Rua Doutor César, Santana, São Paulo Zona Norte, São Paulo",2.200,88.0,3.0
norte,"Rua Antônio Flaquer, Barro Branco, São Paulo Zona Norte, São Paulo",1.200,71.0,2.0
norte,"Rua Angelo Richiutti, Jardim Paraíso, São Paulo Zona Norte, São Paulo",3.000,130.0,3.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.650,50.0,2.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",3.000,80.0,3.0
norte,"Rua Belchior De Ordas, Vila Leonor, São Paulo Zona Norte, São Paulo",5.460,180.0,3.0
norte,"Rua Martins Júnior, Chácara Nossa Senhora Aparecida, São Paulo Zona Norte, São Paulo",2.600,230.0,2.0
norte,"Avenida Mandaqui, Limão, São Paulo Zona Norte, São Paulo",2.220,70.0,2.0
norte,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.480,115.0,5.0
norte,"Rua Coronel Euclídes Machado, Jardim Das Graças, São Paulo Zona Norte, São Paulo",1.350,43.0,2.0
norte,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",1.600,47.0,1.0
norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2.395,47.0,1.0
norte,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.460,75.0,2.0
sul,"Rua Tuim, Vila Uberabinha, São Paulo Zona Sul, São Paulo",4.500,70.0,2.0
sul,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",3.850,86.0,2.0
sul,"Avenida Aratãs, Indianópolis, São Paulo Zona Sul, São Paulo",4.140,102.0,3.0
sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",4.700,112.0,3.0
sul,"Rua Diogo Jacome, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.500,80.0,2.0
sul,"Rua Sabiá, Indianópolis, São Paulo Zona Sul, São Paulo",2.600,93.0,3.0
sul,"Rua Barão De Santa Eulalia, 150, Real Parque, São Paulo Zona Sul, São Paulo",5.000,280.0,4.0
sul,"Rua Alvorada, 735, Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000,110.0,3.0
sul,"Rua Da Paz, 619, Alto Da Boa Vista, São Paulo Zona Sul, São Paulo",5.000,55.0,2.0
sul,"Rua Brasília, 85, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.000,103.0,3.0
sul,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000,168.0,
sul,"Rua Caramuru, 417, Saúde, São Paulo Zona Sul, São Paulo",5.000,47.0,
sul,"Rua Joinville, Vila Mariana, São Paulo Zona Sul, São Paulo",1.430,41.0,1.0
sul,"Alameda Vicente Pinzon, 144, Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000,88.0,
sul,"Rua Luís Dias, 85, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.000,92.0,2.0
sul,"Rua Tenente Américo Moretti, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.200,58.0,2.0
sul,"Avenida Adolfo Pinheiro, 1720, Santo Amaro, São Paulo Zona Sul, São Paulo",5.000,150.0,
sul,"Rua Nelson Gama De Oliveira, Vila Andrade, São Paulo Zona Sul, São Paulo",1.200,45.0,1.0
sul,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000,120.0,
sul,"Rua Dona Avelina, Vila Mariana, São Paulo Zona Sul, São Paulo",1.200,24.0,1.0
sul,"Rua Antônio Loureiro, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.339,70.0,2.0
sul,"Rua Vergueiro, Vila Firmiano Pinto, São Paulo Zona Sul, São Paulo",650,17.0,1.0
sul,"Rua Oliveira Melo, Vila São José, São Paulo Zona Sul, São Paulo",1.500,100.0,2.0
sul,"Avenida Engenheiro José Salles, Socorro, São Paulo Zona Sul, São Paulo",1.600,74.0,3.0
sul,"Rua Clímaco Barbosa, Cambuci, São Paulo Zona Sul, São Paulo",1.500,35.0,1.0
sul,"Rua Francisco Siracusa, Parque Fongaro, São Paulo Zona Sul, São Paulo",950,50.0,1.0
sul,"Rua Leopoldo Couto De Magalhães Júnior, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.000,45.0,1.0
sul,"Rua Alfredo Jorel, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.203,45.0,2.0
sul,"Rua Engenheiro Prudente, Vila Monumento, São Paulo Zona Sul, São Paulo",10.000,330.0,4.0
sul,"Rua Alexandrino Da Silveira Bueno, Cambuci, São Paulo Zona Sul, São Paulo",1.530,34.0,2.0
sul,"Rua Nova York, Brooklin Paulista, São Paulo Zona Sul, São Paulo",800,150.0,2.0
sul,"Rua Pires Da Mota, Aclimação, São Paulo Zona Sul, São Paulo",1.100,50.0,1.0
sul,"Rua Antônio Venturi, Vila Sônia, São Paulo Zona Sul, São Paulo",1.210,43.0,1.0
sul,"Rua Santa, Vila Mascote, São Paulo Zona Sul, São Paulo",1.470,70.0,2.0
sul,"Rua Vigário Taques Bitencourt, Santo Amaro, São Paulo Zona Sul, São Paulo",1.720,54.0,2.0
sul,"Rua Coriolano Durand, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",2.500,104.0,3.0
sul,"Rua Nossa Senhora Das Mercês, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.339,74.0,2.0
sul,"Rua Diogo Vaz, Cambuci, São Paulo Zona Sul, São Paulo",1.200,46.0,1.0
sul,"Avenida Doutor Mário Vilas Boas Rodrigues, Jardim Dom Bosco, São Paulo Zona Sul, São Paulo",3.200,80.0,2.0
sul,"Rua Edvard Carmilo, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.350,43.0,2.0
sul,"Avenida Miguel Estéfno, Saúde, São Paulo Zona Sul, São Paulo",1.339,60.0,2.0
sul,"Rua Pedro Gomes Cardim, Vila Progredior, São Paulo Zona Sul, São Paulo",1.658,80.0,4.0
sul,"Rua Ribeiroles, Parque Jabaquara, São Paulo Zona Sul, São Paulo",1.442,90.0,2.0
sul,"Avenida Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",2.450,165.0,4.0
sul,"Avenida Fagundes Filho, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",1.700,50.0,2.0
sul,"Avenida Professor Sylla Mattos, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1.320,72.0,3.0
sul,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",6.000,110.0,3.0
sul,"Avenida Mascote, Vila Mascote, São Paulo Zona Sul, São Paulo",2.800,117.0,3.0
sul,"Rua Deputado João Sussumo Hirata, Vila Andrade, São Paulo Zona Sul, São Paulo",1.650,47.0,1.0
sul,"Rua Dos Cariris Novos, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",1.600,55.0,2.0
sul,"Rua Maranjaí, Vila Monumento, São Paulo Zona Sul, São Paulo",1.100,57.0,2.0
sul,"Rua Arminda Fernandes De Almeida, Vila Mariana, São Paulo Zona Sul, São Paulo",2.814,85.0,2.0
sul,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.800,80.0,2.0
sul,"Rua Bom Pastor, Ipiranga, São Paulo Zona Sul, São Paulo",1.800,50.0,1.0
sul,"Rua Coronel Luiz Schimidt 59, Vila Das Belezas, São Paulo Zona Sul, São Paulo",151.900,28.0,1.0
sul,"Rua Derval, Vila Mascote, São Paulo Zona Sul, São Paulo",4.000,150.0,3.0
sul,"Rua Agudos, Vila Monumento, São Paulo Zona Sul, São Paulo",1.600,60.0,2.0
sul,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",2.400,104.0,2.0
sul,"Rua Lino Guedes, Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.575,70.0,2.0
sul,"Rua Fagundes Filho, Saúde, São Paulo Zona Sul, São Paulo",1.800,58.0,2.0
sul,"Rua Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",1.600,60.0,2.0
sul,"Avenida Marginal Direita Anchieta, Vila Heliópolis, São Paulo Zona Sul, São Paulo",1.100,65.0,3.0
sul,"Rua Dos Democratas, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2.400,58.0,2.0
sul,"Rua Ibituruna, São Judas, São Paulo Zona Sul, São Paulo",2.393,70.0,2.0
sul,"Rua Henri Dunant, Santo Amaro, São Paulo Zona Sul, São Paulo",4.450,53.0,1.0
sul,"Rua Júpiter, Aclimação, São Paulo Zona Sul, São Paulo",4.800,185.0,4.0
sul,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.500,54.0,2.0
sul,"Rua Napoleão De Barros, Vila Clementino, São Paulo Zona Sul, São Paulo",2.400,50.0,1.0
sul,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",2.700,93.0,3.0
sul,"Avenida Doutor Silva Melo, Jardim Taquaral, São Paulo Zona Sul, São Paulo",2.000,65.0,2.0
sul,"Rua Marcos Lopes, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",7.500,82.0,1.0
sul,"Rua Dias De Toledo, Saúde, São Paulo Zona Sul, São Paulo",4.400,71.0,2.0
sul,"Rua Cesário Ramalho, Cambuci, São Paulo Zona Sul, São Paulo",2.000,54.0,2.0
sul,"Rua Doutor Guilherme Bannitz, Itaim Bibi, São Paulo Zona Sul, São Paulo",3.700,42.0,1.0
sul,"Rua Guararapes, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200,100.0,2.0
sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.500,56.0,2.0
sul,"Avenida Cupecê, Jardim Prudência, São Paulo Zona Sul, São Paulo",1.236,30.0,1.0
sul,"Rua Marselhesa, Vila Mariana, São Paulo Zona Sul, São Paulo",3.355,34.0,1.0
sul,"Rua Barão Campos Gerais, Real Parque, São Paulo Zona Sul, São Paulo",1.000,45.0,1.0
sul,"Rua Praia Do Castelo, Vila Mascote, São Paulo Zona Sul, São Paulo",2.500,73.0,2.0
sul,"Rua Cesar Vallejo, Real Parque, São Paulo Zona Sul, São Paulo",2.250,35.0,1.0
sul,"Rua Thomás Deloney, Santo Amaro, São Paulo Zona Sul, São Paulo",5.100,165.0,4.0
sul,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",1.339,63.0,2.0
sul,"Rua Castro Alves, Aclimação, São Paulo Zona Sul, São Paulo",2.500,38.0,1.0
sul,"Rua Muniz De Sousa, Aclimação, São Paulo Zona Sul, São Paulo",10.000,356.0,8.0
sul,"Rua Doutor José Áureo Bustamante, Santo Amaro, São Paulo Zona Sul, São Paulo",8.000,120.0,3.0
sul,"Avenida Miruna, Indianópolis, São Paulo Zona Sul, São Paulo",1.470,36.0,1.0
sul,"Avenida Da Aclimação, Aclimação, São Paulo Zona Sul, São Paulo",2.350,52.0,1.0
sul,"Alameda Sarutaiá, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.850,42.0,1.0
sul,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.530,35.0,1.0
sul,"Rua Marcos Lopes, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.500,150.0,3.0
sul,"Rua Lourdes Fernandes Grossmann, Vila Santo Estéfano, São Paulo Zona Sul, São Paulo",1.100,70.0,1.0
sul,"Avenida Washington Luís, Santo Amaro, São Paulo Zona Sul, São Paulo",4.070,160.0,3.0
sul,"Rua Tuim, Vila Uberabinha, São Paulo Zona Sul, São Paulo",1.465,40.0,1.0
sul,"Avenida Pavão, Indianópolis, São Paulo Zona Sul, São Paulo",3.130,60.0,1.0
sul,"Rua Doutor João Clímaco Pereira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.430,51.0,1.0
sul,"Rua Baluarte, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500,30.0,1.0
sul,"Rua Doutor Fadlo Haidar, Vila Olímpia, São Paulo Zona Sul, São Paulo",6.310,275.0,2.0
sul,"Rua Das Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.500,40.0,1.0
sul,"Rua Doutor João Clímaco Pereira, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.700,35.0,1.0
sul,"Avenida Ibijaú, Moema, São Paulo Zona Sul, São Paulo",5.000,100.0,3.0
sul,"Rua José Homero Roxo, Campininha, São Paulo Zona Sul, São Paulo",1.417,40.0,1.0
sul,"Rua Antônio Gil, Vila Inglesa, São Paulo Zona Sul, São Paulo",1.470,70.0,1.0
sul,"Rua Viaza, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",2.700,43.0,1.0
sul,"Rua Casa Do Ator, Vila Olímpia, São Paulo Zona Sul, São Paulo",14.550,124.0,1.0
sul,"Rua Germano Ulbrich, Vila Andrade, São Paulo Zona Sul, São Paulo",3.538,184.0,3.0
sul,"Rua Iaiá, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.600,64.0,1.0
sul,"Rua Marechal Pimentel, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1.300,67.0,2.0
sul,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.205,43.0,1.0
sul,"Avenida João Dias, Santo Amaro, São Paulo Zona Sul, São Paulo",2.120,85.0,2.0
sul,"Rua Visconde Nacar, Real Parque, São Paulo Zona Sul, São Paulo",2.700,150.0,3.0
sul,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.300,55.0,1.0
sul,"Avenida Presidente Juscelino Kubitschek, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",6.500,82.0,2.0
sul,"Rua Sena Madureira, Vila Clementino, São Paulo Zona Sul, São Paulo",3.800,54.0,2.0
sul,"Rua Coriolano Durand, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",3.000,75.0,2.0
sul,"Rua Castilho, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200,44.0,1.0
sul,"Rua Desembargador Eliseu Guilherme, Paraíso, São Paulo Zona Sul, São Paulo",2.310,60.0,1.0
sul,"Rua João Álvares Soares, Campo Belo, São Paulo Zona Sul, São Paulo",4.500,230.0,2.0
sul,"Rua Sebastopol, Vila Inglesa, São Paulo Zona Sul, São Paulo",1.850,63.0,2.0
sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.468,69.0,2.0
sul,"Rua Cruz E Souza, Aclimação, São Paulo Zona Sul, São Paulo",1.980,45.0,1.0
sul,"Rua Paracatu, Parque Imperial, São Paulo Zona Sul, São Paulo",1.648,80.0,2.0
sul,"Rua Piranchin, Santo Amaro, São Paulo Zona Sul, São Paulo",980,20.0,1.0
sul,"Rua Iliria, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1.300,70.0,1.0
sul,"Rua Doutor Jesuíno Maciel, Campo Belo, São Paulo Zona Sul, São Paulo",3.468,110.0,2.0
sul,"Rua Batataes, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.575,35.0,1.0
sul,"Avenida Miguel Yunes, Usina Piratininga, São Paulo Zona Sul, São Paulo",2.310,65.0,2.0
sul,"Rua Itaipu, Mirandópolis, São Paulo Zona Sul, São Paulo",1.900,52.0,1.0
sul,"Rua José Da Silva Ribeiro, Vila Andrade, São Paulo Zona Sul, São Paulo",1.995,56.0,2.0
sul,"Rua Emboabas, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.690,140.0,3.0
sul,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",2.060,56.0,2.0
sul,"Rua Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.300,48.0,1.0
sul,"Rua Doutor Sodre, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.900,70.0,2.0
sul,"Rua Leonardo Cerveira Varandas, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",4.800,144.0,4.0
sul,"Rua Machado De Assis, Vila Mariana, São Paulo Zona Sul, São Paulo",3.549,33.0,1.0
sul,"Rua Nossa Senhora Da Saude, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.800,69.0,2.0
sul,"Rua Barão Do Triunfo, Brooklin Paulista, São Paulo Zona Sul, São Paulo",15.000,258.0,4.0
sul,"Rua Quatá, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.750,24.0,1.0
sul,"Rua Coronel Luís Barroso, Santo Amaro, São Paulo Zona Sul, São Paulo",1.850,33.0,1.0
sul,"Rua Bacaetava, Vila Gertrudes, São Paulo Zona Sul, São Paulo",6.500,95.0,3.0
sul,"Avenida Santo Amaro, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2.500,60.0,3.0
sul,"Rua Tutóia, Vila Mariana, São Paulo Zona Sul, São Paulo",2.600,75.0,2.0
sul,"Rua Apeninos, Aclimação, São Paulo Zona Sul, São Paulo",2.415,86.0,2.0
sul,"Rua Doutor Jesuíno Maciel, Campo Belo, São Paulo Zona Sul, São Paulo",3.300,48.0,1.0
sul,"Rua Professor Guilherme Belfort Sabino, Campininha, São Paulo Zona Sul, São Paulo",1.400,30.0,1.0
sul,"Rua Gabriele Dannunzio, Campo Belo, São Paulo Zona Sul, São Paulo",2.900,45.0,1.0
sul,"Avenida Jabaquara, Mirandópolis, São Paulo Zona Sul, São Paulo",2.200,29.0,1.0
sul,"Rua Bento Branco De Andrade Filho, Jardim Dom Bosco, São Paulo Zona Sul, São Paulo",3.100,70.0,2.0
sul,"Rua Santa Justina, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500,24.0,1.0
sul,"Rua César Vallejo, Real Parque, São Paulo Zona Sul, São Paulo",2.826,35.0,1.0
sul,"Rua Boqueirão, Saúde, São Paulo Zona Sul, São Paulo",2.413,140.0,3.0
sul,"Rua Doutor Chibata Miyakoshi, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",2.800,330.0,4.0
sul,"Rua Charles Spencer Chaplin, Vila Andrade, São Paulo Zona Sul, São Paulo",2.700,48.0,1.0
sul,"Rua Doutor José Estefno, Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",4.580,178.0,3.0
sul,"Rua Jocelyn Bennaton - Vila Nova Caledonia, Vila Nova Caledônia, São Paulo Zona Sul, São Paulo",3.100,110.0,3.0
sul,"Rua Da Paz 1313, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",3.021,95.0,3.0
sul,"Rua Dom Bernardo Nogueira, Vila Gumercindo, São Paulo Zona Sul, São Paulo",2.500,60.0,2.0
sul,"Rua Peixoto Gomide, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.650,50.0,1.0
sul,"Rua Jaques Félix, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",5.350,45.0,1.0
sul,"Rua Maestro Elias Lobo, Jardim Paulista, São Paulo Zona Sul, São Paulo",2.415,68.0,1.0
sul,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.200,165.0,3.0
